cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
9.9_76.7,9.9,76.7,9.950000000000001,76.75
10.4_76.60000000000001,10.4,76.60000000000001,10.450000000000001,76.65
13.700000000000001_76.80000000000001,13.700000000000001,76.80000000000001,13.750000000000002,76.85000000000001
15.3_74.10000000000001,15.3,74.10000000000001,15.350000000000001,74.15
14.0_74.8,14.0,74.8,14.05,74.85
15.8_74.4,15.8,74.4,15.850000000000001,74.45
14.100000000000001_74.7,14.100000000000001,74.7,14.150000000000002,74.75
10.100000000000001_77.0,10.100000000000001,77.0,10.150000000000002,77.05
12.3_75.3,12.3,75.3,12.350000000000001,75.35
12.3_75.60000000000001,12.3,75.60000000000001,12.350000000000001,75.65
9.9_76.3,9.9,76.3,9.950000000000001,76.35
16.8_74.60000000000001,16.8,74.60000000000001,16.85,74.65
10.9_76.60000000000001,10.9,76.60000000000001,10.950000000000001,76.65
11.9_76.9,11.9,76.9,11.950000000000001,76.95
12.200000000000001_75.7,12.200000000000001,75.7,12.250000000000002,75.75
16.7_74.2,16.7,74.2,16.75,74.25
8.6_77.10000000000001,8.6,77.10000000000001,8.65,77.15
8.4_77.5,8.4,77.5,8.450000000000001,77.55
15.0_74.10000000000001,15.0,74.10000000000001,15.05,74.15
15.4_74.2,15.4,74.2,15.450000000000001,74.25
8.8_76.7,8.8,76.7,8.850000000000001,76.75
11.100000000000001_76.60000000000001,11.100000000000001,76.60000000000001,11.150000000000002,76.65
13.3_75.2,13.3,75.2,13.350000000000001,75.25
11.0_76.60000000000001,11.0,76.60000000000001,11.05,76.65
11.200000000000001_76.2,11.200000000000001,76.2,11.250000000000002,76.25
10.200000000000001_76.3,10.200000000000001,76.3,10.250000000000002,76.35
11.9_77.10000000000001,11.9,77.10000000000001,11.950000000000001,77.15
15.5_73.9,15.5,73.9,15.55,73.95
14.700000000000001_74.2,14.700000000000001,74.2,14.750000000000002,74.25
15.0_74.7,15.0,74.7,15.05,74.75
15.0_74.0,15.0,74.0,15.05,74.05
13.0_75.10000000000001,13.0,75.10000000000001,13.05,75.15
13.100000000000001_75.2,13.100000000000001,75.2,13.150000000000002,75.25
11.9_75.3,11.9,75.3,11.950000000000001,75.35
